time,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,GyroX2,GyroY2,GyroZ2,AccX2,AccY2,AccZ2
156,-1.98,-1.82,1.34,0.02,-0.11,1.11,-2.24,-1.89,0.61,-0.01,-0.01,0.92
164,-1.95,-1.79,1.34,0.02,-0.11,1.12,-1.82,-2.02,0.66,-0.02,-0.01,0.91
174,-1.18,-1.73,1.00,0.03,-0.12,1.11,-0.98,-1.85,0.37,-0.02,-0.02,0.91
182,-0.83,-1.06,1.05,0.03,-0.11,1.10,-0.89,-1.47,0.15,-0.02,-0.02,0.90
191,-0.98,-0.97,0.76,0.03,-0.11,1.10,-0.99,-1.10,0.26,-0.02,-0.02,0.92
199,-1.21,-0.47,0.95,0.02,-0.11,1.12,-0.77,-1.15,0.28,-0.02,-0.02,0.92
208,-0.56,-0.92,1.05,0.03,-0.11,1.13,-0.47,-1.61,0.44,-0.01,-0.02,0.91
217,-0.41,-1.52,0.90,0.03,-0.11,1.13,-0.78,-2.00,0.09,-0.02,-0.02,0.92
225,-1.05,-2.02,0.60,0.03,-0.12,1.12,-1.24,-2.46,-0.24,-0.02,-0.02,0.90
234,-1.53,-2.08,0.15,0.03,-0.13,1.11,-1.63,-2.44,-0.62,-0.01,-0.03,0.91
242,-1.18,-2.10,-0.53,0.03,-0.13,1.10,-1.27,-2.42,-1.23,-0.01,-0.03,0.90
251,-0.94,-1.53,-0.38,0.03,-0.12,1.10,-1.04,-1.68,-1.16,-0.01,-0.02,0.90
260,-1.18,-1.21,-0.82,0.04,-0.13,1.10,-0.97,-1.37,-1.61,-0.02,-0.03,0.90
269,-0.98,-0.76,-0.94,0.03,-0.12,1.09,-0.76,-0.98,-1.75,-0.02,-0.02,0.91
277,-0.83,-0.20,-0.70,0.03,-0.10,1.09,-0.56,-0.65,-1.55,-0.01,-0.01,0.91
286,-0.94,-0.04,-0.53,0.03,-0.10,1.12,-0.61,-0.59,-1.20,-0.02,-0.01,0.91
294,-0.52,-0.05,-0.30,0.03,-0.10,1.11,-0.21,-0.19,-0.69,-0.02,-0.01,0.90
304,-0.21,0.60,0.24,0.02,-0.09,1.11,0.34,0.21,-0.18,-0.02,-0.01,0.90
312,0.35,0.62,0.88,0.02,-0.09,1.11,0.99,0.18,0.40,-0.03,-0.02,0.91
321,0.80,0.70,1.22,0.03,-0.09,1.12,1.05,0.17,0.31,-0.01,-0.00,0.91
329,0.49,0.46,1.21,0.03,-0.10,1.14,0.51,-0.17,0.22,-0.02,-0.00,0.92
337,0.34,0.23,1.16,0.02,-0.11,1.13,-0.18,-0.53,0.13,-0.03,-0.01,0.92
347,-0.30,-0.07,0.76,0.02,-0.11,1.12,-0.37,-0.76,-0.36,-0.03,-0.01,0.92
355,-0.77,-0.76,0.32,0.02,-0.10,1.13,-0.57,-1.30,-0.44,-0.03,0.00,0.92
364,-0.92,-1.19,-0.04,0.01,-0.10,1.14,-1.24,-1.87,-0.66,-0.04,-0.00,0.91
372,-1.48,-1.93,0.01,0.02,-0.09,1.13,-1.83,-2.38,-0.34,-0.01,0.01,0.92
381,-2.01,-2.24,0.24,0.02,-0.08,1.13,-2.07,-2.79,-0.18,-0.01,0.01,0.91
390,-2.06,-2.60,0.79,0.02,-0.08,1.12,-2.21,-2.80,0.35,-0.02,-0.00,0.90
398,-2.09,-2.39,1.05,0.03,-0.08,1.10,-1.98,-2.45,0.76,-0.01,0.00,0.90
407,-2.04,-1.91,1.71,0.03,-0.09,1.09,-1.84,-1.63,1.34,-0.02,-0.01,0.90
415,-1.66,-0.98,2.19,0.04,-0.09,1.08,-1.34,-0.69,1.41,-0.02,-0.01,0.90
424,-1.30,-0.46,2.52,0.03,-0.10,1.09,-1.15,-0.38,1.89,-0.01,-0.02,0.91
433,-0.98,-0.01,2.68,0.03,-0.11,1.10,-0.82,-0.11,1.91,-0.02,-0.02,0.91
442,-0.73,0.08,2.69,0.03,-0.12,1.12,-0.79,-0.10,1.57,-0.01,-0.02,0.91
450,-0.92,0.11,2.35,0.03,-0.13,1.11,-0.77,-0.08,1.44,-0.02,-0.03,0.91
459,-0.95,0.05,1.77,0.03,-0.14,1.12,-0.86,-0.07,0.69,-0.03,-0.03,0.91
467,-1.18,0.12,1.33,0.03,-0.15,1.11,-0.94,-0.08,-0.13,-0.03,-0.03,0.90
476,-1.15,0.09,0.18,0.03,-0.15,1.09,-1.18,-0.05,-1.08,-0.02,-0.02,0.89
485,-1.54,0.37,-0.83,0.03,-0.15,1.09,-1.73,0.03,-2.09,-0.03,-0.02,0.89
493,-2.37,0.60,-1.58,0.03,-0.13,1.10,-2.36,0.10,-3.09,-0.01,0.00,0.90
502,-3.13,0.50,-2.74,0.03,-0.11,1.09,-3.24,0.29,-3.81,-0.02,-0.00,0.89
510,-3.55,0.43,-2.94,0.04,-0.08,1.11,-3.56,0.07,-3.51,-0.01,0.01,0.90
520,-3.89,0.15,-2.23,0.04,-0.05,1.12,-3.87,0.00,-2.27,0.01,0.01,0.89
528,-3.88,-0.10,-0.61,0.05,-0.03,1.10,-3.44,-0.09,-0.77,0.01,0.01,0.89
536,-3.23,0.30,0.92,0.05,-0.04,1.08,-2.80,0.42,0.66,0.01,0.01,0.88
545,-2.73,0.68,2.37,0.05,-0.06,1.08,-2.05,1.11,1.73,0.01,0.00,0.89
553,-2.19,1.72,3.10,0.05,-0.07,1.06,-2.04,2.30,1.99,0.01,-0.01,0.88
563,-2.15,3.00,2.95,0.05,-0.10,1.05,-1.76,3.63,1.73,0.00,-0.02,0.88
571,-2.03,4.40,3.24,0.05,-0.12,1.04,-1.20,4.98,1.63,-0.01,-0.03,0.89
579,-1.34,5.40,3.03,0.03,-0.13,1.06,-0.31,6.35,1.18,-0.01,-0.03,0.89
588,-1.26,6.56,2.88,0.03,-0.12,1.07,-0.25,7.01,0.95,-0.02,-0.03,0.90
596,-1.32,7.02,2.64,0.03,-0.13,1.09,-0.17,7.18,0.74,-0.04,-0.04,0.91
606,-1.23,7.18,2.07,0.01,-0.14,1.11,-0.34,6.92,0.27,-0.05,-0.03,0.92
614,-1.68,6.71,1.69,0.01,-0.13,1.14,-1.12,6.24,-0.26,-0.04,-0.02,0.92
623,-2.33,5.44,0.98,0.01,-0.13,1.17,-1.80,4.81,-0.42,-0.04,-0.02,0.93
631,-2.35,4.15,0.88,0.01,-0.13,1.18,-1.90,3.25,-0.57,-0.04,-0.02,0.94
641,-2.23,3.02,0.44,0.01,-0.13,1.17,-1.41,2.03,-0.92,-0.04,-0.02,0.93
649,-1.79,1.85,-0.16,0.00,-0.13,1.16,-2.07,1.05,-1.77,-0.04,-0.01,0.93
657,-3.04,0.77,-0.83,0.00,-0.12,1.15,-3.58,0.08,-1.97,-0.05,-0.01,0.93
666,-4.11,-0.19,-1.21,0.00,-0.11,1.15,-4.59,-0.50,-1.98,-0.04,-0.01,0.92
674,-4.66,-0.85,-1.00,0.01,-0.10,1.13,-4.22,-1.15,-1.58,-0.04,-0.01,0.91
684,-3.83,-1.26,-0.73,0.01,-0.09,1.12,-3.69,-1.21,-0.98,-0.03,-0.01,0.92
692,-3.95,-0.92,-0.02,0.02,-0.09,1.11,-3.85,-0.89,-0.36,-0.03,-0.01,0.93
701,-3.53,-0.46,0.26,0.02,-0.10,1.09,-3.23,-0.23,-0.33,-0.03,-0.02,0.90
709,-3.03,0.48,0.72,0.03,-0.11,1.09,-2.41,0.73,-0.20,-0.02,-0.03,0.91
718,-2.24,1.09,0.97,0.03,-0.11,1.09,-1.15,1.26,0.23,-0.03,-0.03,0.91
727,-1.02,1.92,1.57,0.03,-0.11,1.10,-0.47,1.83,0.42,-0.02,-0.03,0.91
735,-0.46,2.27,1.67,0.02,-0.11,1.09,0.27,2.36,0.53,-0.02,-0.03,0.91
744,-0.11,2.53,1.66,0.03,-0.12,1.12,0.26,2.25,0.21,-0.02,-0.02,0.91
752,-0.48,2.53,1.27,0.02,-0.13,1.12,-0.27,2.08,-0.21,-0.03,-0.02,0.91
761,-0.91,2.32,0.65,0.02,-0.14,1.12,-0.41,1.90,-0.98,-0.03,-0.02,0.90
770,-1.04,2.15,0.17,0.02,-0.14,1.10,-0.89,1.54,-1.37,-0.03,-0.03,0.91
779,-1.73,1.92,-0.68,0.03,-0.14,1.10,-1.61,1.58,-2.10,-0.02,-0.02,0.90
787,-2.47,1.66,-1.58,0.03,-0.14,1.09,-2.47,1.46,-2.71,-0.02,-0.02,0.89
796,-2.93,1.82,-1.68,0.03,-0.12,1.09,-2.40,1.75,-2.88,-0.02,-0.02,0.89
804,-2.47,2.34,-1.69,0.02,-0.11,1.08,-1.48,2.27,-2.66,-0.03,-0.02,0.89
813,-1.75,2.92,-1.37,0.03,-0.10,1.07,-1.21,2.87,-2.48,-0.03,-0.02,0.90
822,-1.70,3.90,-0.66,0.03,-0.10,1.07,-0.82,4.02,-2.24,-0.06,-0.03,0.89
830,-0.68,4.72,-1.04,-0.01,-0.08,1.12,-0.73,4.55,-2.58,-0.04,-0.01,0.90
839,-1.09,4.76,-1.56,-0.00,-0.15,1.13,-1.56,3.79,-3.14,-0.05,0.00,0.92
847,-2.72,3.42,-2.22,-0.02,-0.13,1.18,-2.79,2.27,-3.76,-0.08,-0.01,0.92
857,-3.50,1.05,-3.12,-0.03,-0.12,1.18,-4.44,0.54,-4.72,-0.07,-0.01,0.94
865,-5.01,0.27,-4.48,-0.02,-0.15,1.19,-4.98,-1.53,-5.27,-0.09,-0.00,0.95
874,-4.85,-1.44,-4.63,-0.03,-0.11,1.14,-4.85,-2.14,-4.71,-0.07,-0.00,0.92
882,-5.12,-1.82,-3.89,-0.01,-0.08,1.10,-4.99,-2.17,-4.06,-0.07,0.01,0.92
891,-4.84,-1.26,-3.04,-0.01,-0.08,1.10,-4.21,-1.11,-3.25,-0.06,0.00,0.91
900,-3.35,-0.60,-1.71,-0.01,-0.05,1.12,-2.37,-1.02,-1.63,-0.05,0.01,0.91
909,-2.24,-0.40,-0.10,-0.00,-0.03,1.12,-2.52,-0.72,-0.44,-0.04,-0.01,0.94
917,-2.84,-0.04,0.66,0.00,-0.09,1.10,-1.58,0.28,0.17,-0.04,-0.03,0.91
926,-0.09,0.79,1.72,0.01,-0.10,1.10,1.53,0.79,1.19,-0.01,-0.03,0.91
934,1.37,1.34,2.50,0.03,-0.10,1.08,2.20,1.20,2.18,-0.02,-0.01,0.91
943,1.88,1.81,3.60,0.02,-0.07,1.08,2.24,2.02,2.85,-0.02,-0.01,0.90
952,1.16,2.87,4.34,0.03,-0.08,1.07,1.45,2.76,3.72,-0.02,-0.01,0.88
960,1.26,3.36,5.36,0.02,-0.06,1.06,1.93,3.75,4.50,-0.02,-0.00,0.89
969,1.61,4.32,6.21,0.03,-0.09,1.07,2.05,4.40,4.99,-0.02,-0.01,0.88
977,0.98,4.99,6.29,0.03,-0.10,1.06,1.89,5.31,5.06,-0.02,-0.02,0.88
986,0.84,6.04,6.89,0.03,-0.09,1.06,2.34,6.43,5.67,-0.02,-0.01,0.85
995,1.83,7.54,7.83,0.04,-0.06,1.01,2.93,8.11,5.84,-0.01,-0.03,0.87
1003,2.18,8.47,7.43,0.03,-0.13,1.02,3.34,8.61,5.38,-0.04,-0.04,0.87
1012,3.24,8.79,5.98,0.01,-0.19,1.12,4.51,7.92,3.40,-0.06,-0.05,0.91
1020,2.88,7.66,4.55,-0.01,-0.17,1.14,3.17,6.53,1.95,-0.07,-0.03,0.92
1030,2.01,5.28,1.94,-0.01,-0.22,1.22,1.50,3.74,-0.67,-0.07,-0.03,0.94
1038,0.51,3.08,-0.11,-0.01,-0.18,1.17,0.76,1.58,-2.24,-0.07,-0.04,0.94
1047,0.75,1.81,-2.29,-0.02,-0.20,1.19,-0.09,0.52,-4.47,-0.06,-0.03,0.93
1055,-1.15,1.41,-4.53,0.01,-0.19,1.08,-1.35,0.15,-6.43,-0.06,-0.03,0.92
1064,-1.24,1.40,-5.85,-0.01,-0.15,1.08,-1.23,1.29,-7.08,-0.05,0.01,0.91
1073,-2.15,2.64,-5.76,0.01,-0.07,1.10,-0.76,1.22,-6.21,-0.04,-0.00,0.90
1082,0.56,3.31,-5.05,0.02,-0.11,1.08,2.34,2.35,-3.85,-0.01,0.02,0.90
1090,8.76,8.55,4.71,0.05,0.40,0.80,15.25,9.36,4.73,0.03,0.06,0.83
1099,10.53,7.59,3.73,0.02,-0.22,1.23,3.99,3.26,0.56,-0.10,-0.05,1.04
1107,2.73,2.82,1.80,-0.01,-0.16,1.25,6.11,1.60,0.83,-0.04,-0.08,0.96
1117,12.13,3.12,2.27,0.04,-0.19,1.19,16.86,-1.28,2.20,-0.03,-0.11,0.93
1126,23.54,3.77,4.45,0.02,-0.17,1.16,27.81,1.18,3.75,-0.00,-0.10,0.92
1134,33.72,5.92,6.00,0.04,-0.18,1.09,38.35,1.59,4.20,-0.05,-0.10,0.91
1143,41.03,7.16,5.58,0.01,-0.18,1.14,43.02,1.63,3.76,-0.04,-0.07,0.92
1152,45.39,8.11,5.59,0.04,-0.16,1.18,49.69,1.08,3.33,-0.00,-0.04,0.92
1161,59.44,9.48,6.35,0.08,-0.10,1.21,68.11,0.66,5.31,0.00,-0.01,0.87
1169,75.50,9.06,8.89,0.01,-0.08,1.17,80.60,-0.24,7.57,-0.03,-0.01,0.93
1178,78.68,7.15,8.85,-0.01,-0.07,1.26,78.13,-3.53,7.33,-0.04,0.08,0.98
1187,78.00,4.44,7.96,-0.03,-0.03,1.23,76.60,-6.31,6.92,-0.10,0.08,0.94
1196,77.28,1.53,7.27,-0.05,-0.08,1.20,75.84,-9.47,5.79,-0.10,0.05,0.96
1205,78.86,0.01,6.65,-0.02,-0.06,1.23,77.07,-11.46,5.10,-0.10,0.06,0.93
1213,87.03,0.29,6.73,0.02,-0.13,1.10,90.43,-9.94,3.79,-0.01,-0.01,0.90
1222,99.92,2.63,7.69,0.03,-0.08,1.13,110.29,-8.69,6.80,0.00,0.01,0.92
1231,122.08,7.00,8.71,0.02,-0.07,1.17,137.04,-7.31,7.30,-0.04,0.07,0.91
1240,150.89,9.48,8.48,-0.02,-0.02,1.20,160.30,-9.06,7.73,-0.09,0.11,0.88
1249,162.86,7.26,8.64,-0.08,-0.02,1.18,165.78,-13.79,8.22,-0.10,0.12,0.80
1258,165.26,3.07,8.70,-0.08,0.06,1.15,168.60,-20.47,11.92,-0.05,0.21,0.79
1266,175.64,-0.96,10.37,-0.06,-0.04,1.19,184.66,-19.55,10.82,-0.01,0.20,0.86
1275,194.32,5.60,11.60,0.02,0.08,0.97,206.18,-17.93,11.50,-0.06,0.20,0.83
1285,206.93,4.91,12.37,-0.09,0.14,1.08,212.58,-18.34,12.52,-0.09,0.22,0.92
1294,219.36,10.02,11.33,-0.05,0.07,1.12,222.91,-13.82,10.53,-0.11,0.34,0.95
1303,212.80,12.74,12.43,-0.07,0.36,0.97,204.90,-12.32,13.40,-0.04,0.35,0.77
1312,193.10,9.52,16.36,-0.07,0.40,0.91,178.66,-11.88,17.59,-0.05,0.34,0.70
1320,154.37,6.65,18.06,-0.11,0.35,1.07,144.76,-11.82,18.30,-0.06,0.47,0.79
1330,132.33,3.69,17.59,-0.05,0.39,1.02,119.55,-13.17,17.10,-0.10,0.53,0.92
1339,102.40,-2.92,15.57,-0.11,0.52,0.94,94.66,-13.86,15.62,-0.07,0.58,0.88
1348,91.14,-4.29,14.20,-0.08,0.48,1.01,89.40,-11.23,14.41,0.00,0.56,0.76
1357,84.84,-1.61,13.16,-0.03,0.43,0.98,81.44,-8.70,12.87,0.01,0.52,0.70
1366,79.59,-1.92,12.72,-0.11,0.46,1.07,79.80,-7.86,11.76,0.00,0.52,0.64
1375,85.24,0.60,11.21,-0.03,0.39,0.96,91.08,-6.95,10.62,-0.04,0.50,0.67
1384,98.04,4.24,10.81,-0.03,0.36,0.98,107.67,-5.19,9.82,-0.03,0.48,0.72
1392,114.54,9.40,9.79,-0.03,0.35,1.02,122.98,-2.69,7.90,-0.05,0.49,0.78
1401,129.36,13.37,8.74,-0.05,0.32,1.02,138.30,-0.20,6.87,-0.04,0.48,0.78
1411,146.11,18.46,8.10,-0.03,0.39,1.05,156.59,2.38,6.67,-0.03,0.50,0.78
1420,158.02,22.27,9.10,-0.01,0.46,1.01,158.11,4.95,7.91,0.00,0.53,0.76
1428,152.05,23.76,10.79,0.01,0.54,0.97,150.77,6.18,8.85,0.02,0.59,0.72
1437,143.24,24.52,11.29,0.02,0.60,0.92,142.52,6.96,8.56,0.00,0.63,0.69
1446,132.22,21.63,9.78,-0.03,0.54,0.90,129.07,6.37,7.60,-0.03,0.66,0.64
1455,125.25,19.60,9.88,-0.08,0.54,0.88,131.47,4.85,8.02,-0.04,0.58,0.59
1464,134.05,20.40,10.63,-0.06,0.52,0.91,140.14,4.44,9.50,-0.03,0.56,0.59
1473,141.18,19.79,11.61,-0.06,0.49,0.86,143.18,3.47,9.57,-0.04,0.59,0.59
1482,137.75,18.63,11.27,-0.08,0.58,0.94,136.44,1.76,9.99,-0.02,0.67,0.61
1491,129.15,16.32,11.51,-0.02,0.69,0.89,123.18,0.44,10.56,0.05,0.76,0.59
1500,114.63,12.75,12.18,0.02,0.77,0.88,111.05,0.34,10.98,0.10,0.80,0.59
1509,104.81,13.69,12.42,0.05,0.76,0.80,105.27,2.46,10.79,0.08,0.77,0.55
1518,104.21,15.50,12.80,-0.00,0.69,0.80,108.82,4.47,10.56,0.04,0.70,0.53
1527,108.99,17.71,12.61,-0.02,0.63,0.77,112.52,5.34,10.48,-0.00,0.71,0.51
1537,105.79,17.31,12.47,-0.05,0.69,0.81,103.39,4.78,10.46,0.01,0.75,0.52
1545,95.07,15.98,12.48,-0.02,0.72,0.78,93.18,5.15,10.04,0.02,0.79,0.53
1554,86.33,14.80,11.53,-0.03,0.75,0.81,83.65,4.95,9.18,0.03,0.82,0.53
1563,75.87,14.02,10.02,-0.03,0.77,0.78,73.73,5.24,7.30,-0.01,0.84,0.50
1572,66.74,12.78,7.68,-0.04,0.75,0.76,63.41,3.89,5.26,-0.02,0.84,0.47
1581,60.44,9.99,6.06,-0.06,0.74,0.76,61.18,2.40,3.73,0.02,0.83,0.42
1590,60.56,9.31,5.03,-0.03,0.74,0.73,64.34,0.95,3.54,0.02,0.78,0.39
1598,65.74,8.86,5.08,-0.01,0.77,0.73,67.96,0.66,4.16,0.02,0.79,0.40
1607,66.38,8.47,5.13,-0.03,0.75,0.68,65.15,0.79,4.05,0.00,0.82,0.41
1616,62.57,8.66,5.30,-0.08,0.80,0.71,63.20,0.87,3.42,-0.00,0.83,0.42
1625,60.82,7.63,4.43,-0.07,0.80,0.71,58.91,0.99,3.22,0.01,0.84,0.43
1634,54.44,8.17,4.01,-0.04,0.80,0.69,52.75,1.12,2.64,0.00,0.86,0.41
1642,48.05,7.54,3.66,-0.02,0.82,0.64,45.62,1.50,1.70,0.02,0.86,0.37
1651,40.68,6.61,2.65,-0.03,0.83,0.64,36.72,1.15,1.39,0.01,0.87,0.35
1659,32.46,5.34,1.73,-0.05,0.82,0.69,29.82,-0.30,0.24,-0.00,0.86,0.38
1669,25.41,2.33,0.71,-0.05,0.81,0.67,20.13,-1.05,-0.30,-0.00,0.87,0.38
1678,15.42,1.21,0.39,-0.06,0.81,0.69,12.38,-1.26,-0.92,0.02,0.85,0.37
1686,9.77,0.42,-0.06,-0.04,0.82,0.69,9.89,-0.95,-1.01,0.02,0.84,0.39
1695,9.43,0.84,0.00,-0.03,0.83,0.66,8.49,-1.00,-1.00,0.02,0.85,0.41
1703,6.33,0.47,-0.58,-0.03,0.81,0.70,4.07,-0.65,-1.56,0.00,0.86,0.41
1712,2.11,0.89,-0.66,-0.05,0.82,0.68,1.98,-0.61,-1.40,-0.00,0.86,0.38
1721,1.46,-0.38,-0.89,-0.05,0.81,0.69,2.21,-0.93,-1.55,0.02,0.86,0.37
1729,2.56,-0.39,-0.82,-0.05,0.81,0.69,2.52,-1.26,-1.51,-0.01,0.86,0.39
1738,1.02,-0.57,-1.44,-0.06,0.84,0.69,-0.60,-1.33,-1.75,-0.00,0.89,0.39
1746,-4.12,-1.49,-1.64,-0.06,0.85,0.69,-7.01,-1.54,-2.65,0.01,0.90,0.40
1756,-10.24,-1.50,-2.18,-0.05,0.85,0.68,-12.40,-1.89,-2.32,0.00,0.87,0.41
1765,-13.85,-3.42,-1.53,-0.05,0.84,0.73,-14.79,-2.31,-1.19,0.01,0.85,0.42
1773,-14.47,-3.37,-1.05,-0.05,0.83,0.71,-13.05,-2.64,-0.12,0.01,0.82,0.40
1782,-11.73,-3.36,-0.16,-0.05,0.79,0.71,-8.28,-3.15,0.88,0.01,0.82,0.40
1790,-5.43,-3.36,-0.27,-0.06,0.77,0.71,-2.56,-3.05,0.21,-0.00,0.83,0.41
1800,-0.70,-1.82,-0.37,-0.04,0.78,0.72,2.21,-2.31,-0.06,0.01,0.82,0.44
1808,3.07,-0.10,-0.91,-0.04,0.78,0.69,4.02,-1.17,-0.96,0.01,0.85,0.45
1817,3.69,0.99,-1.02,-0.04,0.82,0.70,4.11,0.03,-1.36,0.00,0.85,0.42
1825,4.60,1.61,-0.85,-0.04,0.78,0.68,5.43,0.60,-1.57,-0.00,0.85,0.41
1835,4.91,2.23,-1.07,-0.05,0.79,0.71,4.17,0.92,-2.15,0.01,0.85,0.42
1843,3.25,0.98,-3.79,-0.17,0.72,0.74,-8.09,1.88,-9.84,-0.08,1.04,0.45
1852,-11.54,1.30,-6.17,-0.02,0.88,0.64,-13.72,6.85,-14.66,0.01,0.94,0.38
1860,-17.02,-4.53,-7.41,-0.12,0.87,0.74,-25.67,-2.40,-10.50,-0.03,0.91,0.42
1869,-26.95,-5.39,-6.42,-0.03,0.81,0.72,-27.97,-1.43,-9.76,0.02,0.79,0.43
1879,-28.26,-4.28,-5.23,-0.01,0.81,0.69,-29.24,-1.76,-6.44,0.03,0.80,0.45
1887,-26.24,-3.79,-4.01,0.00,0.74,0.71,-26.60,-1.27,-6.21,0.01,0.79,0.45
1896,-26.06,-3.85,-2.89,-0.04,0.80,0.73,-24.90,-2.11,-4.11,-0.00,0.83,0.43
1905,-25.66,-4.85,-2.38,-0.06,0.81,0.71,-26.27,-2.50,-2.06,-0.00,0.78,0.41
1913,-24.14,-4.73,-1.15,-0.04,0.73,0.75,-20.73,-3.26,-0.63,0.02,0.74,0.41
1923,-17.11,-4.42,0.51,-0.01,0.77,0.73,-16.70,-3.95,0.64,0.04,0.77,0.45
1931,-17.60,-4.47,1.53,-0.01,0.79,0.74,-21.56,-2.73,0.63,0.04,0.81,0.45
1940,-28.60,-3.92,0.97,-0.00,0.86,0.69,-31.66,0.10,-0.09,0.06,0.86,0.45
1949,-34.70,-3.63,0.19,0.00,0.79,0.70,-37.47,-0.08,-0.91,0.01,0.84,0.49
1957,-37.49,-1.64,0.08,0.02,0.79,0.71,-35.88,-0.08,-0.78,0.01,0.73,0.49
1967,-33.79,-2.52,1.31,-0.05,0.72,0.79,-32.80,-6.47,1.36,-0.04,0.73,0.54
1975,-25.00,-2.11,1.89,-0.10,0.55,0.90,-22.02,-9.82,3.27,-0.07,0.74,0.50
1984,-11.37,-12.02,-1.41,-0.33,0.79,0.65,-20.40,-4.17,-3.45,-0.19,0.94,0.49
1993,-21.03,-5.44,-3.69,-0.16,0.86,0.82,-17.86,-3.86,-4.50,-0.09,0.85,0.42
2001,-17.55,-10.57,-5.53,-0.14,0.75,0.74,-20.83,-6.69,-6.28,-0.05,0.86,0.39
2011,-20.04,-12.44,-6.57,-0.11,0.78,0.81,-25.09,-11.88,-5.76,-0.08,0.84,0.42
2020,-26.15,-16.75,-6.48,-0.14,0.79,0.79,-31.12,-14.40,-5.73,-0.02,0.83,0.41
2028,-29.61,-17.56,-6.82,-0.05,0.75,0.78,-33.41,-16.40,-5.85,-0.01,0.76,0.45
2037,-32.16,-19.97,-7.45,-0.05,0.72,0.68,-32.30,-17.92,-6.09,-0.01,0.80,0.47
2046,-27.88,-22.04,-6.91,-0.07,0.63,1.01,-34.58,-20.92,-4.82,-0.05,0.86,0.51
2056,-37.49,-22.41,-8.96,-0.03,0.57,0.75,-47.83,-19.39,-10.93,-0.06,0.86,0.46
2064,-47.61,-23.20,-13.53,-0.06,0.75,0.74,-49.68,-16.91,-11.37,0.04,0.81,0.43
2073,-50.40,-20.02,-12.37,-0.01,0.77,0.68,-55.92,-16.93,-11.80,-0.04,0.80,0.50
2082,-57.95,-20.63,-13.10,-0.03,0.78,0.69,-62.63,-16.40,-11.23,0.02,0.79,0.50
2092,-61.40,-19.22,-11.14,0.00,0.83,0.62,-62.98,-12.12,-9.46,0.07,0.75,0.49
2101,-59.63,-15.73,-9.16,0.01,0.74,0.67,-60.72,-8.20,-8.19,0.07,0.71,0.51
2109,-57.14,-11.22,-7.23,0.02,0.70,0.72,-56.43,-4.92,-6.93,0.06,0.71,0.50
2118,-53.95,-8.31,-6.60,0.02,0.67,0.74,-53.33,-2.82,-6.88,0.05,0.71,0.49
2127,-52.58,-6.68,-6.10,0.01,0.68,0.73,-55.11,-2.71,-6.36,0.04,0.74,0.48
2136,-57.22,-8.40,-5.94,-0.03,0.70,0.80,-59.83,-4.60,-6.08,-0.00,0.71,0.47
2145,-59.46,-12.03,-5.93,-0.04,0.66,0.79,-61.82,-6.47,-6.14,-0.01,0.71,0.45
2153,-61.38,-11.89,-5.66,-0.05,0.70,0.72,-63.14,-5.76,-6.22,-0.00,0.71,0.46
2162,-62.72,-11.48,-6.38,-0.03,0.63,0.73,-63.46,-4.77,-6.59,-0.02,0.72,0.48
2171,-61.79,-9.70,-6.04,-0.03,0.67,0.74,-61.35,-2.47,-6.56,0.01,0.71,0.52
